Date : 2024-06-04 19:08:27
Directory : /Users/dev/Documents/packtune
Total : 202 files,  13756 codes, 1898 comments, 1781 blanks, all 17435 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |      4,849 |          0 |          3 |      4,852 |
| JavaScript JSX   |         47 |      3,770 |      1,277 |        631 |      5,678 |
| Python           |         45 |      2,426 |        341 |        537 |      3,304 |
| JavaScript       |         67 |      1,236 |        144 |        259 |      1,639 |
| CSS              |         31 |      1,003 |        136 |        237 |      1,376 |
| Markdown         |          3 |        312 |          0 |         76 |        388 |
| toml             |          1 |         39 |          0 |          4 |         43 |
| Ini              |          1 |         38 |          0 |         13 |         51 |
| pip requirements |          1 |         33 |          0 |          1 |         34 |
| HTML             |          2 |         31 |          0 |         11 |         42 |
| Docker           |          1 |         19 |          0 |          9 |         28 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        202 |     13,756 |      1,898 |      1,781 |     17,435 |
| . (Files)                                                                                               |          6 |      1,099 |          0 |         85 |      1,184 |
| app                                                                                                     |         42 |      2,124 |        314 |        488 |      2,926 |
| app (Files)                                                                                             |          2 |         83 |         15 |         24 |        122 |
| app/api                                                                                                 |         10 |      1,034 |        255 |        286 |      1,575 |
| app/forms                                                                                               |         11 |        194 |         13 |         39 |        246 |
| app/models                                                                                              |         11 |        383 |         19 |         82 |        484 |
| app/seeds                                                                                               |          7 |        403 |         12 |         52 |        467 |
| app/utils                                                                                               |          1 |         27 |          0 |          5 |         32 |
| migrations                                                                                              |          4 |        340 |         27 |         62 |        429 |
| migrations (Files)                                                                                      |          2 |         98 |         17 |         42 |        157 |
| migrations/versions                                                                                     |          2 |        242 |         10 |         20 |        272 |
| react-vite                                                                                              |        150 |     10,193 |      1,557 |      1,146 |     12,896 |
| react-vite (Files)                                                                                      |          6 |      4,215 |          1 |         16 |      4,232 |
| react-vite/dist                                                                                         |         17 |         50 |         80 |         22 |        152 |
| react-vite/dist (Files)                                                                                 |          1 |         16 |          0 |          6 |         22 |
| react-vite/dist/assets                                                                                  |         16 |         34 |         80 |         16 |        130 |
| react-vite/src                                                                                          |        127 |      5,928 |      1,476 |      1,108 |      8,512 |
| react-vite/src (Files)                                                                                  |          2 |        145 |          6 |         49 |        200 |
| react-vite/src/components                                                                               |        112 |      4,480 |      1,401 |        885 |      6,766 |
| react-vite/src/components/ApplicationComplete                                                           |          3 |         40 |          0 |         12 |         52 |
| react-vite/src/components/CancelPage                                                                    |          2 |         15 |          0 |          6 |         21 |
| react-vite/src/components/Charts                                                                        |          3 |         53 |          1 |         10 |         64 |
| react-vite/src/components/ContactUs                                                                     |          2 |         83 |          0 |          7 |         90 |
